wavelength,spectrum
1292,2.5984E+14
1293,2.65408E+14
1294,2.6309E+14
1295,2.61828E+14
1296,2.5282E+14
1297,2.44614E+14
1298,2.54924E+14
1299,2.60186E+14
1300,2.35451E+14
1301,2.38005E+14
1302,2.49897E+14
1303,2.26243E+14
1304,2.0731E+14
1305,2.44646E+14
1306,2.45244E+14
1307,2.10335E+14
1308,2.27358E+14
1309,2.4235E+14
1310,2.07275E+14
1311,2.16832E+14
1312,2.17657E+14
1313,2.06263E+14
1314,1.92207E+14
1315,1.9194E+14
1316,2.09714E+14
1317,2.08797E+14
1318,2.13099E+14
1319,1.82321E+14
1320,1.75487E+14
1321,1.94976E+14
1322,1.94209E+14
1323,1.62657E+14
1324,1.76934E+14
1325,2.05649E+14
1326,1.89043E+14
1327,1.76083E+14
1328,1.54252E+14
1329,1.27456E+14
1330,1.41771E+14
1331,1.03625E+14
1332,1.01944E+14
1333,1.28426E+14
1334,1.21476E+14
1335,1.45914E+14
1336,1.25439E+14
1337,1.13089E+14
1338,1.18474E+14
1339,1.18057E+14
1340,1.14101E+14
1341,1.15198E+14
1342,1.15199E+14
1343,8.57587E+13
1344,5.81842E+13
1345,6.66013E+13
1346,4.37539E+13
1347,3.57559E+13
1348,8.83329E+12
1349,9.95119E+12
1350,9.90762E+12
1351,3.83175E+12
1352,1.16483E+12
1353,2.04209E+11
1354,1.61785E+11
1355,25563800000
1356,8527555008
1357,51203064960
1358,8540132992
1359,0
1360,0
1361,0
1362,0
1363,0
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,17268928000
1374,1.29611E+11
1375,1.98882E+11
1376,1.90373E+11
1377,1.73192E+11
1378,5.89282E+11
1379,1.561E+11
1380,60749398016
1381,8684774976
1382,0
1383,0
1384,0
1385,0
1386,17432435968
1387,1.0467E+11
1388,69830364992
1389,3.58138E+11
1390,3.40914E+11
1391,2.01196E+11
1392,35015801984
1393,61321676032
1394,61365696000
1395,8772816960
1396,0
1397,1.1421E+11
1398,7.56085E+11
1399,5.36676E+11
1400,70434084992
1401,1.5859E+11
1402,1.16382E+12
1403,1.49111E+12
1404,5.82741E+11
1405,2.38564E+11
1406,1.07872E+12
1407,4.24718E+11
1408,9.20875E+11
1409,5.05069E+11
1410,5.05427E+11
1411,1.39313E+12
1412,3.64069E+12
1413,1.26892E+13
1414,2.30311E+12
1415,3.30138E+12
1416,2.00271E+13
1417,1.06221E+13
1418,8.45375E+12
1419,3.06085E+12
1420,5.39374E+12
1421,9.74059E+12
1422,2.64254E+13
1423,1.05866E+13
1424,1.22149E+13
1425,1.78692E+13
1426,2.16482E+13
1427,2.94888E+13
1428,1.02645E+13
1429,2.63578E+13
1430,4.10347E+13
1431,3.27481E+13
1432,9.06854E+12
1433,2.1412E+13
1434,1.6458E+13
1435,1.69207E+13
1436,2.5322E+13
1437,2.0803E+13
1438,1.44601E+13
1439,3.24063E+13
1440,2.89424E+13
1441,2.40961E+13
1442,2.66429E+13
1443,3.33222E+13
1444,4.21448E+13
1445,3.47315E+13
1446,2.03423E+13
1447,3.2268E+13
1448,7.54078E+13
1449,6.87349E+13
1450,2.52588E+13
1451,1.42989E+13
1452,4.25609E+13
1453,6.29944E+13
1454,8.86679E+13
1455,5.68498E+13
1456,6.5267E+13
1457,8.48743E+13
